% sensor	int_min	int_max	ocu_min	ocu_max	car_min	car_max	vel_min	vel_max
0	0	10662	0	5180	0	100	0	100
1	0	7016	0	6431	0	100	0	117
2	0	4724	0	4387	0	100	0	114
3	0	4709	0	4288	0	100	0	104
4	0	5976	0	5173	0	100	0	117
5	0	6184	0	5537	0	100	0	112
6	0	5104	0	4605	0	100	0	102
7	0	6888	0	6672	0	100	0	103
8	0	8452	0	6912	0	100	0	109
9	0	5928	0	5552	0	100	0	118
10	0	4608	0	4424	0	100	0	101
11	0	4800	0	4472	0	100	0	114
12	0	7263	0	6972	0	100	0	113
13	0	3997	0	3888	0	100	0	100
14	0	5120	0	4821	0	100	0	103
15	0	6600	0	5369	0	94	0	94
16	0	3157	0	2808	0	100	0	94
17	0	6084	0	5032	0	100	0	87
18	0	5472	0	3892	0	100	0	97
19	0	5841	0	3424	0	100	0	96
20	0	5388	0	2308	0	100	0	101
21	0	5248	0	2784	0	100	0	104
22	0	3653	0	1344	0	71	0	87
