Instante	APCP	CAPE	CONV	DLWRF	DSWRF	PEVAP	PRES	SPFH	TMP	UGRD	VGRD
76	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
77	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
78	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
79	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
80	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
81	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
82	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
83	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
84	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
85	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
86	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
87	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
88	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
89	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
90	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
91	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
92	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
93	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147036	0.147851	0.148147	0.148343	0.147638
94	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147036	0.147851	0.148147	0.148343	0.147638
95	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147036	0.147851	0.148147	0.148343	0.147638
96	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147036	0.147851	0.148147	0.148343	0.147638
97	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147036	0.147851	0.148147	0.148343	0.147638
98	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147036	0.147851	0.148147	0.148343	0.147638
99	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147036	0.147851	0.148147	0.148343	0.147638
100	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147036	0.147851	0.148147	0.148343	0.147638
101	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
102	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
103	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
104	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
105	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
106	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
107	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
108	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
109	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
110	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
111	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
112	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
113	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
114	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
115	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
116	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
117	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
118	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
119	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
120	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
121	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
122	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
123	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
124	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
125	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
126	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
127	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
128	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
129	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
130	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
131	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
132	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
133	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
134	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
135	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
