id	cant
4988	2766
4989	2766
4992	2733
4993	1411
4994	2770
4995	2637
4996	2768
4997	2761
4998	2769
4999	2769
5000	2767
5001	2773
5002	2695
5003	2773
5004	2773
5005	2773
5006	2771
5007	2773
5008	2773
5009	2773
5010	2772
5011	2739
5012	2764
5013	2773
5014	2773
5015	2773
5016	2420
5017	2760
5018	1905
5019	2772
5020	2509
5021	2773
5022	2773
5023	2773
5024	2773
5030	301
5031	2684
5032	1616
5033	2507
5034	4
5037	2772
5038	2773
5039	2773
5040	2773
5041	2773
5042	2771
5043	2773
5044	2773
5045	2773
5046	2773
5047	2773
5048	2773
5049	2773
5050	2773
5051	2773
5052	1420
5053	2773
5054	2773
5055	2768
5056	2756
5057	2773
5058	2770
5059	2766
5060	1743
5061	2773
5063	2770
5064	2770
5065	2770
5067	2763
5068	2754
5069	2770
5071	2324
5072	2778
5073	2778
5074	2778
5075	2770
5076	2748
5077	2770
5078	2769
5079	2759
5081	2776
5082	2778
5083	2762
5084	2770
5085	2768
5087	2769
5088	2746
5089	2599
5090	2766
5091	2767
5092	2772
5093	2769
5094	2737
5095	2674
5096	2731
5097	2551
5098	2769
5099	2772
5100	2773
5101	1781
5102	1418
5103	2693
5104	2739
5105	2773
5106	2764
5107	2767
5108	2773
5109	2773
5110	2773
5111	2768
5112	2773
5113	2773
5114	2772
5115	1781
5116	2741
5117	2741
5118	2769
5119	2615
5120	2768
5121	2773
5122	2773
5123	2773
5124	2773
5125	982
5126	2772
5127	2773
5128	2773
5130	2778
5131	2772
5132	2758
5133	1962
5134	602
5135	2771
5136	2771
5137	2764
5138	2754
5139	2769
5140	2772
5141	2705
5142	2474
5143	2664
5144	2758
5145	2768
5146	2545
5147	2698
5148	2770
5149	2751
5150	2726
5151	2764
5152	2771
5153	2773
5154	2773
5155	2769
5156	2638
5157	2727
5158	2770
5159	2771
5160	2773
5162	2762
5163	2728
5164	2737
5165	2773
5166	2772
5167	2643
5168	2680
5169	2676
5170	2169
5171	2574
5172	2773
5173	1685
5174	2772
5175	2773
5176	2773
5177	2676
5178	2773
5179	2773
5182	2773
5183	2725
