id	len	min	max	mean	sd
535	248706	-64000000.0	63939800.0	13644.0341796875	1554226.875
536	226750	-318407.96875	318400.71875	-12.684656143188477	5509.81884765625
537	248014	-318407.96875	318400.71875	-16.673181533813477	5271.2236328125
538	252597	-318407.96875	318400.71875	432.0928039550781	12175.4677734375
539	169001	-318407.96875	318407.625	-67.02149200439453	9585.9013671875
540	228941	-64000000.0	63955080.0	15123.466796875	1605167.25
541	250634	-318407.96875	318398.28125	-58.815250396728516	5981.84912109375
542	251734	-318407.96875	318400.71875	-26.350914001464844	5231.98876953125
543	247260	-937.5438842773438	1047.5657958984375	-10.107810974121094	52.105018615722656
545	248414	-318407.96875	318400.71875	-13.760822296142578	5267.1650390625
546	243214	-318407.96875	318407.9375	-22.760574340820312	7110.95068359375
547	248631	-318407.96875	318400.71875	94.36882019042969	7182.81591796875
548	253414	-318407.96875	317805.84375	-16.589462280273438	6914.06103515625
549	244014	-318407.96875	318407.9375	-19.069530487060547	7077.9296875
550	229092	-318407.96875	318108.46875	-68.54948425292969	6255.7255859375
551	244434	-318407.96875	318400.71875	1.7230019569396973	5289.2744140625
552	259974	-318407.96875	318400.71875	0.7199281454086304	5148.76611328125
553	262354	-318407.96875	317946.90625	0.9984176158905029	6789.01123046875
554	267360	-617.1571655273438	1128.11474609375	-35.736976623535156	69.83931732177734
555	252795	-318407.96875	317805.84375	4.129540920257568	6937.41552734375
556	242820	-1139.9925537109375	831.260009765625	-6.187846660614014	30.692842483520508
557	241720	-997.4576416015625	1302.1982421875	-18.6706600189209	34.52205276489258
558	225470	-318407.96875	318400.71875	-1.5300930738449097	5497.63427734375
559	246315	-318407.96875	317805.84375	-16.379806518554688	7052.25732421875
560	241898	-318407.96875	318262.21875	22.282320022583008	9935.34375
561	250391	-318407.96875	318400.71875	3.46400785446167	8751.6435546875
562	240972	-318407.96875	317805.84375	-0.11190850287675858	7125.11376953125
563	239545	-318407.96875	318400.71875	-34.45622253417969	8137.45166015625
564	250415	-318407.96875	317805.84375	-6.15307092666626	6993.31787109375
565	249375	-318407.96875	318313.125	-12.29994010925293	7008.4228515625
566	250730	-318407.96875	318400.71875	110.42854309082031	7136.44775390625
567	243175	-318407.96875	317805.84375	-16.90202522277832	7096.70361328125
568	242780	-963.8952026367188	612.3994750976562	0.5873278975486755	32.447784423828125
569	250611	-318407.96875	318400.71875	100.38386535644531	7143.54833984375
570	249806	-318407.96875	318318.71875	83.82908630371094	10361.990234375
573	239226	-318407.96875	318400.71875	352.54522705078125	10080.5146484375
574	250806	-318407.96875	318400.71875	123.16908264160156	8781.6259765625
575	248695	-318407.96875	318400.71875	7.394343376159668	5266.50244140625
576	251300	-1076.8218994140625	1302.138671875	-13.06662368774414	37.67599868774414
577	268702	-318407.96875	318400.71875	70.71875	11186.4794921875
578	250911	-318407.96875	318400.71875	127.92134857177734	7143.1015625
579	246960	-1087.3037109375	1311.4266357421875	5.389521598815918	121.43665313720703
580	275180	-1070.8966064453125	1420.3609619140625	-6.552133560180664	49.84571075439453
581	266750	-318407.96875	318400.71875	11.908721923828125	8403.896484375
582	260340	-1103.375	1302.1427001953125	6.607205390930176	56.96085739135742
583	254080	-1047.495361328125	1302.892822265625	-4.150243282318115	88.13691711425781
